Symbol,Company_Name,Catalyst_Score,Recommendation,Catalyst_Type,Explosive_Potential,Price_Change_1D,Volume_Spike,Technical_Score,Fundamental_Score,Overall_Score,Risk_Level,Hedge_Fund_Rank,Institutional_Rank,Quant_Rank
ADI,ADI,55.20516283156515,BUY,product,True,11.395220065905793,5.485698780446709,38.6436139820956,44.16413026525212,41.403872123673864,Medium,N/A,N/A,N/A
AMAT,AMAT,54.883715185416975,BUY,partnership,False,5.654569674330129,4.83135180762859,38.41860062979188,43.90697214833358,41.16278638906273,Medium,N/A,N/A,N/A
ABX.TO,ABX.TO,54.82491262730116,BUY,partnership,True,11.454736911858484,4.104697413316648,38.37743883911081,43.85993010184093,41.11868447047587,Medium,N/A,N/A,N/A
AMPE,AMPE,54.795193435351464,BUY,product,True,10.846078491385974,5.210344623157517,38.35663540474602,43.836154748281174,41.0963950765136,Medium,N/A,N/A,N/A
BLDP,BLDP,54.707228738934745,BUY,product,False,1.4486569880704776,1.9242067327178942,38.295060117254316,43.7657829911478,41.030421554201055,Medium,N/A,N/A,N/A
ALGM,ALGM,54.59606984864723,BUY,upgrade,True,11.657489615041085,6.417009998344306,38.21724889405306,43.67685587891779,40.947052386485424,Medium,N/A,N/A,N/A
AR,AR,54.425344529081414,BUY,upgrade,False,4.402104821385436,2.0664722583286608,38.09774117035699,43.54027562326513,40.81900839681106,Medium,N/A,N/A,N/A
AMZN,Amazon.com Inc,54.17536575494458,BUY,upgrade,False,7.588064310380752,3.08503569041695,37.9227560284612,43.34029260395567,40.631524316208434,Medium,N/A,N/A,N/A
APHA,APHA,54.03069487463924,BUY,partnership,False,2.5852660358438064,2.433685882987872,37.82148641224747,43.22455589971139,40.52302115597943,Medium,N/A,N/A,N/A
AEHR,AEHR,53.796373011928694,BUY,partnership,False,2.264412243563258,1.4360672382574589,37.657461108350084,43.037098409542956,40.34727975894652,Medium,N/A,N/A,N/A
AVGO,AVGO,53.631994092295756,BUY,product,False,1.7552015258530735,1.2242252432218494,37.54239586460702,42.90559527383661,40.22399556922181,Medium,N/A,N/A,N/A
BLUE,BLUE,53.50191370505162,BUY,earnings,False,3.082643043009883,2.2470651731400713,37.45133959353613,42.8015309640413,40.12643527878872,Medium,N/A,N/A,N/A
AMTD,AMTD,52.989257915821405,BUY,earnings,False,1.9673770260508636,1.7531080970985131,37.092480541074984,42.39140633265713,39.74194343686605,Medium,N/A,N/A,N/A
AAPL,Apple Inc.,52.175166691571754,BUY,upgrade,False,2.5797384661668623,2.4194689537513465,36.52261668410023,41.740133353257406,39.13137501867882,Medium,4,3,3
AVCT,AVCT,51.67034265821738,BUY,earnings,False,2.319260814683613,1.2418557991316415,36.169239860752164,41.336274126573905,38.752756993663034,Medium,N/A,N/A,N/A
AMBA,AMBA,50.856731299478554,BUY,product,False,-7.488625729066944,1.1262868910164325,35.59971190963498,40.68538503958285,38.142548474608915,Medium,N/A,N/A,N/A
AMC,AMC,50.840722584182316,BUY,earnings,False,-1.5719956333475151,1.3062858931576329,35.58850580892762,40.67257806734585,38.13054193813674,Medium,N/A,N/A,N/A
AXP,AXP,50.45418897038046,BUY,product,False,5.093127574003486,1.624695894797585,35.317932279266316,40.36335117630437,37.84064172778534,Medium,N/A,N/A,N/A
ARRY,ARRY,50.05205700415523,BUY,earnings,False,-6.881077246560296,1.8072738120275302,35.03643990290866,40.041645603324184,37.53904275311642,Medium,N/A,N/A,N/A
APD,APD,50.02913646348351,BUY,product,False,-1.9425955175828298,1.3702561691243589,35.020395524438456,40.02330917078681,37.521852347612636,Medium,N/A,N/A,N/A
ACB,ACB,49.861108621839385,WATCH,earnings,False,4.0653537475120745,2.1581839089651997,34.902776035287566,39.88888689747151,37.39583146637954,Low,N/A,N/A,N/A
AGI.TO,AGI.TO,49.855702459012875,WATCH,product,False,5.905048705866026,2.1062368493653993,34.89899172130901,39.8845619672103,37.39177684425965,Low,N/A,N/A,N/A
ABNB,ABNB,49.60678297754831,WATCH,upgrade,False,5.2942782303278175,2.2936980520490575,34.72474808428382,39.685426382038656,37.20508723316124,Low,N/A,N/A,N/A
ASAN,ASAN,49.562032021922946,WATCH,partnership,False,-3.6835441980424077,2.948591585832949,34.693422415346056,39.64962561753836,37.171524016442206,Low,N/A,N/A,N/A
BABA,BABA,49.47630472099709,WATCH,earnings,False,5.1327939565973715,1.6333187789635613,34.63341330469796,39.58104377679768,37.10722854074782,Low,N/A,N/A,N/A
